is_holiday,air_pollution_index,temperature,rain_p_h,visibility_in_miles,traffic_condition
1,46.11,30.8,1.67,3.83,2
1,71.25,28.58,1.92,3.52,2
1,49.71,32.01,0.8,4.3,2
1,43.51,28.19,1.48,3.45,2
0,44.68,30.23,0.54,3.62,2
0,71.44,26.39,1.49,3.51,2
0,51.77,25.02,1.95,2.55,2
0,51.16,25.2,1.43,2.17,2
1,77.79,28.2,0.73,4.74,2
0,42.38,31.58,1.13,2.99,2
1,42.5,28.52,1.23,3.04,2
1,68.19,31.85,0.98,4.33,2
1,68.64,29.81,0.65,4.17,2
0,78.33,33.4,1.74,4.1,2
1,42.63,28.97,0.98,2.56,2
0,70.13,27.26,1.21,2.06,2
1,68.4,25.97,0.61,4.06,2
1,66.16,29.84,1.84,2.06,2
0,40.9,29.94,0.67,2.82,2
0,78.61,30.78,1.88,2.76,2
0,35.68,27.76,1.8,4.02,2
0,77.09,27.16,1.73,3.47,2
0,43.55,30.86,1.65,3.0,2
1,34.59,34.98,0.88,4.87,2
1,70.65,25.34,1.97,4.2,2
0,41.15,34.52,1.51,2.45,2
1,75.43,30.56,0.69,3.41,2
0,34.95,25.54,0.84,2.06,2
1,45.43,32.28,0.62,2.64,2
1,41.84,26.81,0.55,2.53,2
1,63.82,33.29,1.31,2.01,2
1,58.27,33.25,0.7,4.14,2
1,78.8,27.47,0.9,3.27,2
0,37.59,30.59,1.6,3.98,2
1,33.7,26.54,1.79,4.22,2
1,73.05,27.83,1.22,2.13,2
1,51.88,33.56,0.64,4.41,2
1,39.85,33.52,1.55,4.6,2
0,56.65,27.82,1.01,3.65,2
1,53.62,31.8,0.89,3.56,2
1,55.25,29.84,1.69,2.54,2
1,75.89,31.67,0.71,3.63,2
1,76.6,27.56,1.2,2.2,2
1,46.56,34.65,1.27,4.41,2
1,74.6,31.3,1.34,3.86,2
1,52.58,31.82,0.79,3.01,2
0,37.24,30.14,1.65,3.18,2
0,38.61,29.95,1.4,2.17,2
0,67.46,34.66,0.63,2.17,2
1,59.36,27.81,0.9,4.55,2
0,36.82,33.17,0.55,2.31,2
0,48.81,33.1,0.62,2.83,2
1,51.87,33.96,1.54,4.47,2
1,45.66,33.53,1.24,4.56,2
0,55.74,27.09,0.7,3.53,2
0,68.52,34.7,1.2,2.87,2
0,72.04,30.68,0.67,4.83,2
0,47.46,25.18,1.88,4.2,2
1,30.93,27.52,1.07,4.51,2
0,43.04,31.11,1.77,4.09,2
1,44.23,32.54,0.97,2.91,2
0,44.28,34.29,1.55,4.96,2
1,79.41,27.67,1.63,4.44,2
1,50.76,33.52,0.6,3.96,2
1,67.42,25.37,1.41,3.39,2
0,38.62,28.58,0.81,4.8,2
1,50.3,27.01,1.88,3.47,2
0,34.23,31.07,1.4,4.1,2
1,37.11,28.49,1.15,4.95,2
0,76.27,30.34,0.92,4.2,2
0,53.02,28.11,1.02,3.7,2
1,53.64,27.03,1.23,4.42,2
0,64.16,32.36,1.44,2.41,2
1,36.69,32.5,1.93,2.9,2
1,33.3,25.03,1.57,4.15,2
0,60.21,33.48,0.73,3.43,2
0,73.8,34.99,1.01,3.25,2
1,39.77,34.16,0.59,3.5,2
0,63.35,34.34,1.86,2.08,2
1,74.24,27.6,0.91,2.14,2
1,36.96,27.48,1.97,2.24,2
1,77.42,29.54,1.61,3.32,2
0,45.74,31.14,1.6,2.36,2
0,37.8,28.87,1.13,4.44,2
0,46.08,32.11,1.89,3.06,2
0,58.38,26.39,1.6,4.55,2
1,31.07,27.99,1.99,4.61,2
1,37.63,31.56,1.61,2.36,2
1,49.23,29.98,0.55,2.81,2
1,43.17,34.29,1.39,3.61,2
